phi,O2,N2,fuel,cyclopentane,cyclopentene,"1,2-epoxycyclopentane",H2,water,CO,CO2,methane,acetaldehyde,ethene,propene,acrolein,"1,3-butadiene",1-butene,cyclopentadiene,benzene,h radical,hydroxy,hydroperoxy,peroxide,oxirane
30.0,0.00125,0.99375,0.005,4999.905875320494,0.04244437418459508,0.00016099865050115593,0.035281080329358935,0.024104737824341953,0.013426390093573765,7.499425175170923e-7,0.01295786075566983,4.235421716864351e-7,0.046320296988439515,0.0009812120276978657,0.0026756222894341606,0.000028788476712218995,0.00016474300430910035,0.000505557352247195,5.214619329112828e-11,1.478503614774066e-7,5.105280583547387e-9,0.00005752236347910268,0.003565059237052302,3.411293643020759e-7
6.0,0.00625,0.98875,0.005,4164.7309175478185,256.0649100839534,6.603309594166883,339.57914805010694,618.3443949801225,349.253701860039,1.9589786838404832,19.610955124514025,19.019338058401868,504.176763642303,57.84079234972202,179.56394808689873,4.837400925374409,8.498618226243025,69.72243133436223,0.25447163851831056,0.000917510204096094,0.00013856738902266844,0.34155151867472283,21.93986457170995,1.2908008485327982
5.0,0.0075,0.9875,0.005,3376.4966456385446,365.90282474942256,13.420182147899702,650.5520012210574,1516.8825438874749,1171.3709752923085,10.113005447444458,68.86661571540097,46.731105403539026,1033.8741594088146,100.26883300901538,309.0673163582362,12.667676989930294,20.575657838328667,102.91280785444782,1.3872905272453262,0.001438092215689571,0.00037122831846801203,0.7307388609046158,49.44697500783718,4.8637150512592795
4.0,0.009375,0.985625,0.005,2443.8749677734772,393.444982737285,19.040489809633566,1075.315137944813,3033.750681097666,2916.9791409567397,41.91868225439932,176.11310970312996,78.7707869361629,1660.7670293570804,133.2749028123563,393.02011314741407,18.80080403837507,32.559608602258685,98.7155530338345,3.659203703378552,0.002188284103114615,0.0008664256150322676,1.4211311626409182,99.83194788319969,13.144086401026568
3.5,0.010714286,0.984285714,0.005,2028.6415090781857,377.35990930755116,20.41183573701883,1291.0104017228687,3965.2863597431547,4062.810232913986,74.95178386430979,237.73761366837215,90.6952213035041,1909.3033486484844,136.97276164425975,400.24443823974957,19.239483646882867,33.75917846504383,86.38481403443959,4.449807252318716,0.002666609001507124,0.0012446895677918895,1.91564009864017,135.6264291499735,18.960832123914518
3.0,0.0125,0.9825,0.005,1672.3655455922399,354.88326603575103,21.192195259134696,1483.212989802479,4991.412266498855,5297.027178844356,124.13453191592973,288.58848218562605,97.7198498405229,2072.6217128169374,130.37793791166584,388.1779764000357,18.081711725599575,31.178233614526892,73.64919149885631,4.644810859702891,0.00319160236666496,0.0017296629489296819,2.530437334921885,180.6486562161056,25.321029480732587
2.5,0.015,0.98,0.005,1380.144332260039,335.7050248531499,21.93814891358619,1625.9778378345172,6100.584761929596,6532.279015899064,191.55251441283266,316.19660069663075,98.02704397078988,2129.028274949551,114.47465453225593,362.9209975246617,15.919185529027587,25.864906461544756,63.81750895279582,4.305054225172901,0.003694745636550406,0.0023282406534380984,3.2707928537711113,237.67911437440196,31.34519075915588
2.0,0.01875,0.97625,0.005,1158.7958474767934,329.0251363727012,23.333561639227284,1681.7645676397121,7232.379247368087,7621.433973891345,271.7299733721931,310.85831774915897,90.09352568570338,2060.516062257478,92.62933689281958,330.7241846612034,13.619582811254334,19.44308960556825,59.13990175162592,3.662596521900815,0.004020010479915508,0.0029981818700795682,4.0991140712554905,308.71418467453816,35.58998068788628
1.75,0.021428571,0.973571429,0.005,1075.4257488760654,332.76486965712036,24.47723064865786,1666.430313452838,7773.3179371475935,8055.682998690033,311.64760329353703,295.5674211256937,83.3598671828004,1976.144652083086,81.09844036204673,313.7492178061131,12.72899262137637,16.354630729097998,59.24925397523352,3.311237525226439,0.004053922200688911,0.00332746106212635,4.518684073109549,349.34712846109016,36.521986874322714
1.5,0.025,0.97,0.005,1008.180581786886,341.76373148588755,25.97182551851931,1620.012960132006,8284.674885031633,8397.417986362127,348.5273616503625,273.51779721234936,75.49874243412086,1857.4099014426092,69.89833450246861,296.7482901790321,12.141210953892472,13.554728671410878,61.173951983552705,2.970623602790114,0.003981512682033758,0.0036356722733883505,4.927547485900491,393.21136055288827,36.444937602500126
1.25,0.03,0.965,0.005,953.5873124726342,355.8190454397697,27.804744108764815,1542.2109677284766,8769.49950701167,8645.818718815926,381.50509826208327,246.3680109724055,67.1874133890246,1702.4866284922339,59.23484609140081,279.8298541345002,11.91540947065291,11.105450950944821,65.05285848288953,2.6479100768301977,0.003801825401948267,0.003919988551063221,5.3240425566783784,440.7551115207335,35.26063874200105
1.1,0.034090909,0.960909091,0.005,925.0219033460069,366.4598969378532,29.0473904450069,1479.7922561507678,9054.060520623789,8752.932241958353,399.71555358201704,228.11635828598415,62.22606809712894,1590.3596128504173,53.063469385457125,269.6875766543295,11.977675636441004,9.804798636266499,68.423911002956,2.4610084996912986,0.0036443570172833752,0.004082770812207465,5.559811438233918,471.6540184364258,33.98229672158785
1.0,0.0375,0.9575,0.005,907.0206957191779,374.3773936552321,29.925603237684683,1430.9982906667287,9244.694999357516,8808.240878168834,411.49908658214736,215.1768385152309,58.98606626785251,1506.583626184612,49.00835515357057,262.90306525380316,12.114547636938926,9.0038457199284,71.16917716511307,2.3373937185824976,0.0035190372212970254,0.004190748661529427,5.718826542241806,493.6130060541689,32.877952803831
0.9,0.041666667,0.953333333,0.005,889.4007011241088,382.88616322267364,30.83615809436102,1375.8028938175464,9438.885535652056,8851.504198792141,423.28325060852774,201.57742030155086,55.821453363361584,1414.71733100392,44.971694092573784,256.0759007152596,12.340937146011981,8.252422209724614,74.37099874857837,2.2129363212529114,0.0033771699158307964,0.004300689365917864,5.881730063055387,516.9870062648226,31.55952817720165
0.75,0.05,0.945,0.005,862.6792937808488,396.5891980912335,32.24317091696481,1279.0475523246491,9743.884567023928,8895.424683312669,441.78835440133065,179.7216332577792,51.2382006771046,1259.5178797613019,38.88429224291455,245.68233829106438,12.891716172015949,7.21125225680419,80.19843828242895,2.0202375514457627,0.0031314899445545074,0.004475825889138955,6.140042851622958,555.6081602312555,29.150227747493748
0.65,0.057692308,0.937307692,0.005,843.8404550692716,406.18854700607966,33.189952664663146,1203.2925580530693,9962.597024803088,8911.878869986056,455.53056361968027,163.92326059762465,48.29402256272486,1142.5323435250257,34.75120534897807,238.57021265846618,13.448321786964602,6.569725800291514,84.93502509594775,1.8835134971554897,0.0029433098720566264,0.004605695440677227,6.328044556493599,584.610754626625,27.23308114633611
0.6,0.0625,0.9325,0.005,833.8427840822782,411.0651769309105,33.65903933119017,1161.3317665190586,10078.678393704859,8916.604736337957,463.1610685633072,155.5562358440583,46.8519536191034,1079.381592104332,32.64611804982971,234.9244175362229,13.803454862189758,6.263431680429713,87.62156001010567,1.811118407664954,0.002840842818895582,0.0046768689144936456,6.429196447436496,600.4138665429647,26.175484871357508
0.55,0.068181818,0.926818182,0.005,823.3053676903005,415.9521525117941,34.120881656083206,1116.21705818826,10200.465160088783,8919.187743768394,471.52762808447574,146.8156648203475,45.426055749517566,1012.8162539070852,30.50692334659486,231.19355117084277,14.22348063786568,5.9660695832490855,90.5596075490759,1.7350632699480943,0.002732070315291523,0.004753639569639486,6.536653980122505,617.2898629125978,25.050123564646857
0.5,0.075,0.92,0.005,812.0859498170155,420.8075114802588,34.571177571707494,1067.5328121232637,10329.089832781423,8919.802735688012,480.8759482187274,137.6427945453587,44.01141779003165,942.5866430307894,28.326363579611826,227.34952059022024,14.722800568199,5.676910639712001,93.7880266092563,1.6543904262292248,0.0026162436846785607,0.0048374239932091325,6.651972240095114,635.4441099991075,23.856756000450154
