phi,O2,N2,fuel
100,0.000245,0.996255,0.0035
20,0.001225,0.995275,0.0035
10,0.00245,0.99405,0.0035
6,0.004083333,0.992416667,0.0035
5,0.0049,0.9916,0.0035
4,0.006125,0.990375,0.0035
3.5,0.007,0.9895,0.0035
3,0.008166667,0.988333333,0.0035
2.5,0.0098,0.9867,0.0035
2,0.01225,0.98425,0.0035
1.75,0.014,0.9825,0.0035
1.5,0.016333333,0.980166667,0.0035
1.25,0.0196,0.9769,0.0035
1.1,0.022272727,0.974227273,0.0035
1,0.0245,0.972,0.0035
0.9,0.027222222,0.969277778,0.0035
0.75,0.032666667,0.963833333,0.0035
0.65,0.037692308,0.958807692,0.0035
0.6,0.040833333,0.955666667,0.0035
0.55,0.044545455,0.951954545,0.0035
0.5,0.049,0.9475,0.0035
0.45,0.054444444,0.942055556,0.0035
0.4,0.06125,0.93525,0.0035
0.35,0.07,0.9265,0.0035
0.31,0.079032258,0.917467742,0.0035
0.28,0.0875,0.909,0.0035
0.25,0.098,0.8985,0.0035
0.23,0.106521739,0.889978261,0.0035
0.2,0.1225,0.874,0.0035
0.19,0.128947368,0.867552632,0.0035
0.17,0.144117647,0.852382353,0.0035
0.15,0.163333333,0.833166667,0.0035
0.13,0.188461538,0.808038462,0.0035
0.11,0.222727273,0.773772727,0.0035
0.1,0.245,0.7515,0.0035
