phi,O2,N2,fuel,CO,CO2,CH4,H2,ethene,formaldehyde,propene,water,propadiene (allene),acetaldehyde,"1,3-butadiene",acrolein,cyclopentadiene,cyclopentene,cyclopent-3-enol,cyclopent-2-enol,toluene,cyclopentanone,cyclopentanol,cyclopent-2-enone,h radical,hydroxy radical,hydroperoxy radical,hydrogen peroxide,benzene
100.0,0.000245,0.996255,0.0035,56.402740923650775,0.6018029031005188,25.864972238364096,308.27999112267935,98.14840756922746,29.161136888782586,46.08238391200243,144.76555183299044,22.662436100773654,0.6031580889076348,3.7190428154374167,72.02016656776823,0.5222917684196517,0.3566019582177564,41.722102914923894,79.31471394231497,0.000202415289360307,88.10327782794528,2988.61823851004,1.4696660430095563,0.00027026546123166864,0.00003571544965416527,0.17671837965753978,10.783763744671491,1.6759958110202229
20.0,0.001225,0.995275,0.0035,819.5193270165046,20.174805037407815,118.54625292755138,1095.80664624269,431.28690016614513,173.0209343874312,133.6173436156089,911.752791729144,20.923194267695873,14.786892999537761,74.96008415612197,208.98890147900354,5.209633851564504,0.16667765107158797,108.91564724670137,182.44085240892517,0.011798966553076412,328.3383912960969,1717.4672168593754,16.704316742824155,0.0014001885631652977,0.000294834420271,0.9501185379896201,45.523818185582364,25.22882995555102
10.0,0.00245,0.99405,0.0035,1984.2464406008312,62.564541782741856,201.19486637890554,1502.084704341983,651.0287160097838,258.7156909137835,147.0081852680837,1844.181098510668,12.208560823642655,33.368854080283285,175.82483248038622,216.8452705287928,8.725708711360328,0.1808982448841683,114.61460355971954,178.80633831983928,0.026108928219134856,361.3766047025221,1093.1856932460012,25.302696555526712,0.0026331353983563874,0.0007359938896884453,1.9310146153880838,83.7618777633934,36.3636577145298
6.0,0.004083333,0.992416667,0.0035,3159.632254346374,122.95140466560866,238.32195007603556,1541.8273726269886,736.6499440950494,292.356289642863,133.8498211912845,2992.2766053809883,8.620370914409264,44.68370961950164,247.27270089652157,182.49470995466987,10.210045011266534,0.21993085657308914,116.60259753575212,173.4415785134243,0.0235361531224535,320.78563426548106,772.629445635338,29.536712773547162,0.003428407569911574,0.001409900359485399,3.3112533170514555,149.6854481728492,31.619961153449456
5.0,0.0049,0.9916,0.0035,3528.0416268786444,150.37227643505216,233.7753794699226,1443.727029965726,738.9312890356874,291.40470210798475,125.10216986023329,3476.2368455044775,8.080869069131248,45.39285780657441,261.6531334807949,164.37428287719513,10.536985012972412,0.21671070039548784,122.30108900014572,179.07496529051505,0.01919840883728432,300.54192965193783,699.4341368724836,31.366435326361287,0.0034285676909122952,0.0017264948219987792,3.947870661060712,187.2766297592005,28.05615730863681
4.0,0.006125,0.990375,0.0035,3878.850859793046,185.6322426633623,216.9679441191982,1262.3836886406302,723.2890660369023,281.66835307433627,112.2392334458486,4051.441900357156,7.771628697179307,43.15663801245467,269.1556683722763,140.34178249189154,10.764756934680738,0.1944442198330353,134.33256137062577,193.12039255899154,0.013670676256849907,277.01886598149156,635.7468101708297,34.15686526461155,0.003184343380234223,0.002127873281122556,4.740138998642943,241.14619415170318,23.35021825995987
3.5,0.007,0.9895,0.0035,4036.0379125263644,206.6520479145984,203.93806497473565,1143.311807709878,706.8800559178654,273.14594610183815,103.84649413512454,4361.793834652459,7.6605595095184364,40.546721343707446,269.247774472975,126.0705751308702,10.746256332045393,0.17437173522449811,143.47684682813522,204.18045634253727,0.010770490056033151,264.65553648483615,608.0441903342141,36.02385797827783,0.0029611047568693974,0.0023570377574037623,5.183086065349744,274.79452586667344,20.47484916514835
3.0,0.008166667,0.988333333,0.0035,4177.500703469081,230.20859541100813,188.3445523346525,1012.221824867049,684.3199942066286,262.4885791486354,94.05406982926803,4676.987604798394,7.506255285229454,36.88579157678521,266.58017595535864,110.6260658671401,10.544424056675748,0.1489348783608783,154.77072419985916,217.9203472083749,0.007971015260208048,252.32533643058258,583.0074147435066,38.22187674912423,0.002683351946054617,0.0025997410417214362,5.6450542921627545,312.62105179655384,17.17757667554782
2.5,0.0098,0.9867,0.0035,4302.759992772739,256.582815848925,170.65857481118132,876.0045408289743,655.8929717283793,250.22629046927145,82.99209922881585,4989.000211168637,7.2148228280299636,32.279216139937795,261.1534240408751,94.52744059629016,10.07788944482601,0.11997469428851473,167.9149196874304,233.88539138829736,0.00542534293570636,240.3369472875488,560.3997199408171,40.73726373022507,0.0023692946753856776,0.0028503743472451763,6.116054344301235,354.07738565501757,13.475355404375453
2.0,0.01225,0.98425,0.0035,4412.5996579100165,286.2239749546052,151.1944459522448,740.769958409726,622.3040559720051,237.01820498668346,70.98554925619754,5292.002758554463,6.669588279447151,26.936942363369297,253.08403853120328,78.43671014781347,9.288480820803557,0.09019965794655613,182.33394838077325,251.30030620997152,0.003293247438734715,228.90374449536407,539.9017088368587,43.566074445728795,0.002037874388246652,0.0031037498940433613,6.587820289514622,398.5350994307188,9.549200216705893
