phi,O2,N2,fuel
100,0.000325,0.994675,0.005
20,0.001625,0.993375,0.005
10,0.00325,0.99175,0.005
6,0.005416667,0.989583333,0.005
3,0.010833333,0.984166667,0.005
2,0.01625,0.97875,0.005
1.75,0.018571429,0.976428571,0.005
1.5,0.021666667,0.973333333,0.005
1.25,0.026,0.969,0.005
1.1,0.029545455,0.965454545,0.005
1,0.0325,0.9625,0.005
0.9,0.036111111,0.958888889,0.005
0.75,0.043333333,0.951666667,0.005
0.65,0.05,0.945,0.005
0.6,0.054166667,0.940833333,0.005
0.55,0.059090909,0.935909091,0.005
0.5,0.065,0.93,0.005
0.45,0.072222222,0.922777778,0.005
0.4,0.08125,0.91375,0.005
0.35,0.092857143,0.902142857,0.005
0.31,0.10483871,0.89016129,0.005
0.28,0.116071429,0.878928571,0.005
0.25,0.13,0.865,0.005
0.23,0.141304348,0.853695652,0.005
0.2,0.1625,0.8325,0.005
0.19,0.171052632,0.823947368,0.005
0.17,0.191176471,0.803823529,0.005
0.15,0.216666667,0.778333333,0.005
0.13,0.25,0.745,0.005
0.11,0.295454545,0.699545455,0.005
0.1,0.325,0.67,0.005
0.7,0.046428571,0.948571429,0.005
0.38,0.085526316,0.909473684,0.005
0.21,0.154761905,0.840238095,0.005
