phi,O2,N2,fuel,cyclopent-2-enone,cyclopent-3-enone
100.0,0.000325,0.994675,0.005,81.02928995658775,2.943203061184527
20.0,0.001625,0.993375,0.005,138.80912431412918,13.298304194547255
10.0,0.00325,0.99175,0.005,165.6186934737052,27.5973369783235
6.0,0.005416667,0.989583333,0.005,176.4255965279953,46.54204914291281
3.0,0.010833333,0.984166667,0.005,185.18051188103797,91.46942702501248
2.0,0.01625,0.97875,0.005,209.62613721936174,134.60664425746222
1.75,0.018571429,0.976428571,0.005,222.42381936112108,152.161316458973
1.5,0.021666667,0.973333333,0.005,239.97870282500222,174.57023793304302
1.25,0.026,0.969,0.005,264.5400371439241,204.06094798966137
1.1,0.029545455,0.965454545,0.005,284.2163039981032,226.62662902208007
1.0,0.0325,0.9625,0.005,300.2010062514573,244.411018484563
0.9,0.036111111,0.958888889,0.005,319.16310824022065,264.9530214043325
0.75,0.043333333,0.951666667,0.005,355.0752667430018,302.39181179565685
0.65,0.05,0.945,0.005,385.8263829774957,333.07311957387924
0.6,0.054166667,0.940833333,0.005,403.9109044749936,350.56712961002296
0.55,0.059090909,0.935909091,0.005,424.2077984776864,369.7405688220423
0.5,0.065,0.93,0.005,447.1052050959563,390.80836478343485
0.45,0.072222222,0.922777778,0.005,473.0786675680673,414.013947505544
0.4,0.08125,0.91375,0.005,502.7140639950543,439.6307534084733
0.35,0.092857143,0.902142857,0.005,536.7366442712441,467.96211630074623
0.31,0.10483871,0.89016129,0.005,567.7118689939934,492.8031706885956
0.28,0.116071429,0.878928571,0.005,593.4946016669984,512.8207743870672
0.25,0.13,0.865,0.005,621.7662300464762,534.1146104737702
0.23,0.141304348,0.853695652,0.005,642.1493877012255,549.0597507420489
0.2,0.1625,0.8325,0.005,675.284887956835,572.6644239697661
0.19,0.171052632,0.823947368,0.005,687.0696818354767,580.8625410267115
0.17,0.191176471,0.803823529,0.005,711.8418060876048,597.7752852300565
0.15,0.216666667,0.778333333,0.005,738.3314947085594,615.4032196185503
0.13,0.25,0.745,0.005,766.6913467716834,633.779900034736
0.11,0.295454545,0.699545455,0.005,797.1025998113023,652.932205172018
0.1,0.325,0.67,0.005,813.1486784697346,662.7967500322617
0.7,0.046428571,0.948571429,0.005,369.6355718613661,317.06977841539594
0.38,0.085526316,0.909473684,0.005,515.7505562060156,450.6196003580258
0.21,0.154761905,0.840238095,0.005,663.879784124779,564.6335574149085
