phi,O2,N2,fuel,CO,CO2,CH4,H2,ethene,formaldehyde,propene,water,propadiene (allene),acetaldehyde,"1,3-butadiene",1-butene,oxirane,acrolein,propanal,furan,cyclopentadiene,crotonaldehyde (trans),crotonaldehyde (cis),benzene,cyclopentanone,cyclopent-2-enone,cyclopent-3-enone,h radical,hydroxy,hydroperoxy,peroxide
100.0,0.000325,0.994675,0.005,34.54085004669601,3.170235456003558,2.3927929740816407,122.21092044605915,18.092786032074645,6.092516640076555,1.2803598346213032,5.450992186829493,0.00729335376070493,0.19769096973908187,8.339194512233336,0.18984435391049476,0.0038212763233253164,1.8096966590542107,7.678754891738898e-6,0.002437559300189853,0.010266747349445304,0.4897486933752476,0.4897486933752476,0.004916187709524366,4866.302895021061,92.74847648475195,11.590738794984544,0.00017023934093857634,1.123759072842571e-6,0.014252747153279368,0.41729096171205854
20.0,0.001625,0.993375,0.005,523.8043805659343,48.482659255441796,52.25961241460006,494.2631344788708,229.32216930367872,88.19087113176268,19.39712158240392,171.10137942281702,0.08732937098807991,11.301618811408598,48.438976310909716,6.371398531484911,0.5494621535050102,33.08550103404342,0.0036100398110383547,0.12928050037111039,0.456579194336218,17.065374210941574,17.065374210941574,0.09336819972923975,4274.876282888542,306.24788524541543,37.16409590468807,0.0006982985819882071,0.00003793126056355493,0.2647219890994186,8.425048650945845
10.0,0.00325,0.99175,0.005,1808.4286938297876,149.7429820843158,177.56447645018682,910.1775471110312,656.6427548620417,243.8650958705321,52.67830453509497,725.3361457450396,0.25040803719067084,42.369202989447885,88.31532299468036,17.254855030398815,4.285244485368869,78.77274418087357,0.05107439227160948,0.5080816396922225,2.1830408978121647,47.2294550199133,47.2294550199133,0.34241113263297607,3343.116458206361,453.33987037623086,55.17230668455585,0.0013810341722890473,0.00018615318592141115,0.9394571711222732,35.708201648721115
6.0,0.005416667,0.989583333,0.005,3185.734787189019,251.88501190725614,269.97243576832454,1149.1974915774,976.6522336840529,357.31661094371935,72.94332420671817,1482.405127494371,0.351639812068913,69.32441354873787,111.72782943128634,22.097163492305093,10.386836873617986,104.70217605543252,0.1584439284609086,0.9192061922438572,4.007090716437756,64.23183507227121,64.23183507227121,0.45872362070970546,2613.05708072112,502.56565283443706,61.6210560044292,0.001902500424139415,0.0004417153002920138,1.8381258389711248,82.24572049500182
5.0,0.0065,0.9885,0.005,3677.440245118266,290.76006092001535,288.91880051481655,1200.4262116244786,1062.0685907784252,387.8438460569285,76.87896229041368,1803.3566793217287,0.37141836573296744,76.73188625608239,119.11537833237598,22.575354186455243,12.865515467339627,111.40741913605646,0.2083981861776317,1.087371535645611,4.652922236156509,67.93916578655232,67.93916578655232,0.45375667492428834,2390.5603230078077,510.84751212643636,62.8268228980112,0.0020523813959582742,0.0005667759102170504,2.2239633111224166,105.500063538031
4.0,0.008125,0.986875,0.005,4236.700079184367,338.55894970879064,300.1962340312989,1237.1187391751166,1141.7822646701713,416.7025730719224,79.31685859551142,2207.967930905669,0.3847960285726384,83.52892370810441,127.59275324431088,22.4441851359952,15.758190488587168,118.30797837930112,0.2740315886549474,1.3084152779952452,5.430650661792362,71.01180242248323,71.01180242248323,0.42084162942616093,2156.13914090875,517.4750556522742,63.86245843034988,0.0021950832548221417,0.0007375659924700512,2.7147634438773505,137.8891607987022
3.5,0.009285714,0.985714286,0.005,4541.563052578624,366.8485923763536,301.53952389496516,1246.8887827020408,1177.2983963165143,429.9393465150181,79.72086757057764,2448.415501305712,0.3883500450345627,86.44622210714701,132.26485083925277,22.088002164257066,17.323992079357943,121.93972237280296,0.3151116729734084,1.447708955436558,5.893656158974093,72.19774941871395,72.19774941871395,0.39229129749207314,2035.819088275475,520.3580581329874,64.33164223275807,0.0022579019132153016,0.0008456762643492639,3.0081081806145282,158.7587245313261
3.0,0.010833333,0.984166667,0.005,4864.033982949808,399.00143586286333,299.23885059462606,1248.8092270723025,1208.4620792787175,442.1981923339023,79.41489912411028,2719.605404990292,0.3894529296800497,88.87614184490558,137.14083625777465,21.500782405579546,18.930245203767743,125.80847901016197,0.3641572054572711,1.6137475764932452,6.431168762165694,73.04971711646606,73.04971711646606,0.3556283854849753,1913.8360480975416,523.1535512625587,64.78219880134615,0.002310542636968938,0.0009732587203562345,3.3395988756992767,183.71777282283142
2.5,0.013,0.982,0.005,5207.181413397459,436.32262581940046,292.66312547176614,1240.655059963686,1233.845663253702,453.5550907766396,78.22148956520944,3028.900879235466,0.38777350656037063,90.65380381361052,142.01092348083313,20.642985717696515,20.53101762698428,130.07269505037524,0.42461131808984065,1.816032548837431,7.078702158333411,73.42689599802829,73.42689599802829,0.3114879905532028,1789.6674647784325,526.1258271539333,65.229838654924,0.0023481568234206577,0.0011257551126564562,3.7172522016052074,213.95556707973947
2.0,0.01625,0.97875,0.005,5579.05143709286,481.29915186000807,280.89458145337693,1218.6897751863455,1251.2342203051815,464.37900668887363,75.84049179732669,3390.962802894666,0.38270741802948155,91.51527424865773,146.4193554325956,19.442881972388783,22.05757339478308,135.0222255129109,0.5024424471017463,2.07180518740956,7.903954516081194,73.05937760597182,73.05937760597182,0.2609581030153046,1661.2463714542168,529.7676237060306,65.70227061995246,0.002362823625431424,0.0013131862429526134,4.1567449234390175,251.61177150806535
1.75,0.018571429,0.976428571,0.005,5780.86682207139,508.119421563279,272.5364425200686,1200.3226299282007,1255.6913810922906,469.81126385853395,74.03417654794785,3600.6842394215914,0.3785268627185925,91.45036461895981,148.17611251557966,18.670255848222155,22.757785772444706,137.9257056880448,0.5508898184831867,2.230034560156205,8.424091593119496,72.43620958515478,72.43620958515478,0.23368394045475452,1594.0203947245725,532.1429627002356,65.96509390523566,0.0023569943478183287,0.0014258936894116048,4.4091941112727815,274.4703789168596
1.5,0.021666667,0.973333333,0.005,5998.15338563995,539.2601380102279,261.98249519276146,1174.7474269921722,1256.0717424591767,475.42573262315653,71.65272698897805,3838.3845258781625,0.3728655527421543,90.898095945467,149.36193209187783,17.736391396183066,23.381720455220105,141.292710597564,0.608082277075159,2.419137264510261,9.058268360563105,71.36043838224795,71.36043838224795,0.20523524356082973,1523.3905705344148,535.2106121756552,66.26442319799621,0.0023376856931356066,0.0015571051885125752,4.692904597162499,301.2569602712814
1.25,0.026,0.969,0.005,6236.994516363645,576.6481835341812,248.4562653709331,1138.6920348131066,1250.598795092929,481.36278669270223,68.48113757777801,4115.957241313585,0.3652224938135909,89.63186599984685,149.5962054897556,16.575819189125596,23.879880334934647,145.38352076612153,0.6763752256332467,2.6545525538682404,9.868186622579863,69.61206301548998,69.61206301548998,0.17564216503724886,1447.5925411982569,539.4456688583022,66.62767412087148,0.0022980841526003912,0.00171478461496571,5.020536879987703,333.67220808806803
1.1,0.029545455,0.965454545,0.005,6394.395726707421,603.3811034148744,238.3731443476556,1109.7101106799028,1243.249933964832,485.12013021434444,66.06035424217802,4309.595832033349,0.35937344153542533,88.36659278589562,149.00824352683037,15.725049006126197,24.081908859417965,148.3775314896177,0.723725925307404,2.8292766111866436,10.483760966384972,68.08787893113089,68.08787893113089,0.15728866714551376,1398.526388865726,542.8930060537967,66.89555877178601,0.0022596822287651976,0.0018275341590292455,5.2466088370580914,356.9895215346124
1.0,0.0325,0.9625,0.005,6506.896495733893,623.6430472300784,230.55773051651826,1086.1286037970428,1236.0082024745386,487.70065215563096,64.16600600424447,4453.8880205292935,0.35481264835465054,87.22676361289908,148.16792993646848,15.070431094092113,24.1564747956355,150.70297971557454,0.7582119907232115,2.9657507663851694,10.972688036121918,66.79603719117863,66.79603719117863,0.14476009842769622,1363.810303548697,545.7525595707884,67.10456878720771,0.0022254096305089114,0.0019129947308440835,5.41370814548985,374.73462920550134
0.9,0.036111111,0.958888889,0.005,6626.716746484436,646.3928669738476,221.6404007579838,1058.1211882155574,1226.3412263500775,490.3171788277939,61.99789349323931,4613.522649755616,0.34963358216752566,85.77562930115411,146.84033128688614,14.32671467328173,24.165399500785174,153.38630688076057,0.7950550598302765,3.1236018525183806,11.546475120394973,65.21793065297861,65.21793065297861,0.13195195834417683,1327.0978388180822,549.2211420033193,67.34557461167434,0.002181987409056222,0.002008972029506883,5.597214843948226,394.73141327070323
0.75,0.043333333,0.951666667,0.005,6823.247895722538,686.6365860451472,205.58417854146236,1004.9925563739818,1205.764623086665,494.18683662780586,58.11241601801261,4890.219973182336,0.34055385100083324,82.80425598291413,143.5562316132592,12.992742771437198,24.004878849108596,158.3634026821341,0.8542794485302018,3.416336667201364,12.631607505391056,62.13198370369861,62.13198370369861,0.11208041346264419,1267.2997913644367,556.0198465926677,67.78583231891176,0.002093493361858935,0.0021789096354210198,5.911918758712901,430.29465734137557
0.7,0.046428571,0.948571429,0.005,6894.109674745523,702.1390734302217,199.32670936285572,983.4231077628971,1196.799194214538,495.4077730772628,56.61512319923369,4994.996487060319,0.3371631566903748,81.53312495008157,141.98846876370936,12.47413689007539,23.888236883309908,160.3722544100108,0.8748002338842187,3.5342177612279455,13.07536473000571,60.85362935253503,60.85362935253503,0.10523726010908115,1245.816572828179,558.8584511526637,67.95852828384935,0.002055775791033254,0.0022444616054053883,6.029979062117649,444.05928823064085
0.65,0.05,0.945,0.005,6968.087398667517,718.9401831587403,192.51179439492813,959.4206818352708,1186.5068199668585,496.55547602306666,55.00075649629489,5107.476280762936,0.33360495240132293,80.08193463610523,140.1070126750522,11.910123012717806,23.73029029787356,162.6140728433756,0.8954935998695682,3.665493500589725,13.573496841266039,59.41763206732012,59.41763206732012,0.09826059990501113,1223.4062759322192,562.0668216308379,68.14622393349057,0.0020128211029559963,0.0023155832680836898,6.156046838850366,459.01804007769175
0.6,0.054166667,0.940833333,0.005,7045.495036931679,737.239201064456,185.05920380232016,932.5911957807825,1174.672806568564,497.59329161290066,53.25881269879188,5228.7584237363535,0.32991184807436064,78.41864514887189,137.84708625223882,11.294454596543247,23.52318428711924,165.13789633707984,0.9161502555562749,3.812900446311332,14.137193685494537,57.798135180060434,57.798135180060434,0.09113275858653581,1199.9566405579383,565.7108568365819,68.34975772122024,0.001963740288545992,0.0023931576536503495,6.291203996174106,475.3590490242957
0.55,0.059090909,0.935909091,0.005,7126.688575185114,757.2777449391174,176.873792777766,902.458349978251,1161.0375179585508,498.4707865562419,51.37855589909189,5360.15482364543,0.3261484689747893,76.50355330850385,135.12577909948246,10.619999983390649,23.257225831150176,168.0068109369072,0.9364867211792972,3.9799654515941216,14.780727434450815,55.96372037239388,55.96372037239388,0.08383385392099776,1175.3370839113445,569.8700687270333,68.56920710557353,0.0019074543578201637,0.002478265134349009,6.436727900734193,493.31149119254593
0.5,0.065,0.93,0.005,7212.076162831021,779.3513677892894,167.84259447266305,868.4437000233748,1145.2857553881074,499.118284226276,49.34957289217432,5503.241862865913,0.3224342227217145,74.28701372889385,131.83568209298537,9.878757916728572,22.920399816195573,171.3030399495957,0.9561258142966986,4.171307980599049,15.522469027571328,53.87602715465814,53.87602715465814,0.07634230546639224,1149.3944912111233,574.6400039656725,68.80310144608399,0.0018426481198614325,0.0025722417365722458,6.594135074202901,513.1573238596131
0.45,0.072222222,0.922777778,0.005,7302.134550532119,803.8251109999837,157.83164027250226,829.8417310513677,1127.0340170739664,499.43893868586326,47.16270395350179,5659.926818189789,0.3189836223664989,71.70635687586619,127.83592088201709,9.062037351378523,22.497764279378195,175.13522711794576,0.974574637548906,4.393091599725025,16.386244744192734,51.488061040900014,51.488061040900014,0.0686361882719089,1121.9476239305143,580.1341772371318,69.04695363161262,0.0017677127843550647,0.0026767597186978026,6.765237050364851,535.2475459405902
0.4,0.08125,0.91375,0.005,7397.438342053053,831.1547181038673,146.68283792457552,785.7887721380501,1105.8160372710813,499.29708073948615,44.81151606058836,5832.534311784421,0.3161800305209818,68.68167264658504,122.93945132669363,8.160971100713791,21.97071602212893,179.64896962045015,0.9912022150486314,4.65372094165169,17.403082241075477,48.74219993906133,48.74219993906133,0.060696165038273166,1092.7793648766874,586.4840635410139,69.29048100303123,0.0016806753198985568,0.0027939419242403044,6.952214662223196,560.0257206903336
0.38,0.085526316,0.909473684,0.005,7437.184431542217,843.0102897423292,141.86431469948397,766.4114499214428,1096.3756563085983,499.0702653030023,43.82446536667428,5906.654137551034,0.31537942538600433,67.3253474323549,120.67619801772118,7.775086858115816,21.72565723711384,181.68740512444288,0.9971724194232917,4.771335504406267,17.861336347967043,47.528353513881996,47.528353513881996,0.05745173417293022,1080.5728371657567,589.2957443500957,69.38356503311687,0.0016419463802360432,0.002844948759593596,7.032026374619837,570.8123105759931
0.35,0.092857143,0.902142857,0.005,7498.715210544082,861.9159296917352,134.2118106525633,735.2246353116093,1081.0686035445392,498.50077325560625,42.29450862856257,6023.918985319528,0.3147161707128237,65.1099784471709,116.89509260214477,7.167689392305376,21.316152921603717,185.0420741730801,1.005220971058651,4.964961286562743,18.613237268981205,45.56805752541169,45.56805752541169,0.05251138220102378,1061.6256974877142,593.8335895864565,69.51222096661131,0.0015791129955016548,0.0029265283051471205,7.157722238509004,588.064058352773
0.31,0.10483871,0.89016129,0.005,7584.688822410096,889.4838933578583,123.14265895869853,689.218583714983,1058.2838641619944,497.2115370451553,40.16548035008375,6192.891924978003,0.3153402718988339,61.769879794784806,111.00819989867819,6.30346806083975,20.681783232526016,190.16915428663003,1.0139228721445839,5.261581526906212,19.754538112361626,42.66381874002145,42.66381874002145,0.045792182177181194,1035.0561482967032,600.5262405279157,69.64596938701185,0.001485427635132107,0.003046074623445871,7.3376530929424835,613.3449878629111
0.28,0.116071429,0.878928571,0.005,7652.504972092708,912.1889006184267,114.12770102966155,650.956925022622,1039.2024032307384,495.7405474140045,38.506440894291714,6330.284948836927,0.3175674955535755,58.92713409533424,105.83398806362936,5.615124504704359,20.1303024787493,194.6061749719471,1.0186193044895355,5.5196744346813755,20.731545014344185,40.24020999172542,40.24020999172542,0.04066542975430714,1014.0365341367176,606.0535791289788,69.69582643973307,0.0014067337320494773,0.003145123863547697,7.482993227852039,634.2986038360127
0.25,0.13,0.865,0.005,7723.624514898017,936.8960343355811,104.44618674772757,609.0423555860489,1018.223303259615,493.7198809705759,36.79994762781142,6478.000144192373,0.3221469115491532,55.74533508374699,99.8784638825264,4.89497066938927,19.50495786069861,199.65685279984365,1.021457519591504,5.816094142425566,21.827543333585147,37.58065420603117,37.58065420603117,0.0354836164614479,991.9674654972491,612.0176253501612,69.67236640679202,0.0013198338503997704,0.0032535981117724436,7.638415206288691,657.2731862597884
0.23,0.141304348,0.853695652,0.005,7773.136556773374,954.6159981123792,97.59807572853057,578.850622149618,1003.1006831971783,492.00092368332093,35.639326798606604,6582.805175180518,0.3270863968417759,53.40937204891144,95.40466713290569,4.399684858376211,19.04273234783251,203.42144151409005,1.0221753956985133,6.03963023024311,22.630528142533144,35.66470379003984,35.66470379003984,0.03201308291746339,976.6135393596581,616.2204393212832,69.59547699406552,0.0012568460793344828,0.003331893919006891,7.748266950576419,673.8939135736166
0.21,0.154761905,0.840238095,0.005,7824.564852265532,973.4419835310327,90.42048680344526,546.6872938765754,987.0179151569118,489.9270418061971,34.46297798336365,6693.125732803481,0.3341353024030784,50.879945429513015,90.47219403005148,3.895104947598869,18.541137746368157,207.5490393696337,1.021841593242265,6.28813898111593,23.494360555916003,33.626243014203055,33.626243014203055,0.02854462774061999,960.7011444193047,620.5767616597906,69.44879265244361,0.0011894248458465572,0.003415587326257835,7.863650222404773,691.723541420699
0.2,0.1625,0.8325,0.005,7851.074487238169,983.3006635708969,86.70502167863165,529.8150474661711,978.605944195997,488.73865612211233,33.86958485985815,6750.481233890292,0.3386745921688516,49.53605657265178,87.81733071947,3.64040601516848,18.274747290835386,209.76200069903126,1.021245248428972,6.423186159945672,23.949273032638512,32.55900961786732,32.55900961786732,0.02681642468352538,952.522505552123,622.799458270885,69.34174560929135,0.0011539358065477353,0.0034596450125005973,7.923590150973857,701.1480968133424
