phi,O2,N2,fuel
100,0.00035,0.99465,0.005
12,0.002916667,0.992083333,0.005
6,0.005833333,0.989166667,0.005
3,0.011666667,0.983333333,0.005
2,0.0175,0.9775,0.005
1.75,0.02,0.975,0.005
1.5,0.023333333,0.971666667,0.005
1.25,0.028,0.967,0.005
1.1,0.031818182,0.963181818,0.005
1,0.035,0.96,0.005
0.9,0.038888889,0.956111111,0.005
0.75,0.046666667,0.948333333,0.005
0.65,0.053846154,0.941153846,0.005
0.6,0.058333333,0.936666667,0.005
0.55,0.063636364,0.931363636,0.005
0.5,0.07,0.925,0.005
0.45,0.077777778,0.917222222,0.005
0.4,0.0875,0.9075,0.005
0.35,0.1,0.895,0.005
0.31,0.112903226,0.882096774,0.005
0.28,0.125,0.87,0.005
0.25,0.14,0.855,0.005
0.23,0.152173913,0.842826087,0.005
0.2,0.175,0.82,0.005
0.19,0.184210526,0.810789474,0.005
0.17,0.205882353,0.789117647,0.005
0.15,0.233333333,0.761666667,0.005
0.13,0.269230769,0.725769231,0.005
0.11,0.318181818,0.676818182,0.005
0.1,0.35,0.645,0.005
