phi,O2,N2,fuel,CO,CO2,CH4,H2,oxygen,ethene,formaldehyde,propene,water,propadiene (allene),acetaldehyde,"1,3-butadiene",1-butene,acrolein,propanal,furan,cyclopentadiene,cyclopentene,cyclopentane,crotonaldehyde (trans),crotonaldehyde (cis),benzene,"1,2-epoxycyclopentane",toluene,cyclopentanone,cyclopent-2-enone,3-methylfuran,oxirane,h radical,hydroxy,hydroperoxy,peroxide
100.0,0.00035,0.99465,0.005,0.06719749468545247,0.000325446035997689,0.08069927966814198,32.25881576275215,349.4614937406306,6.420990606572486,0.02852462135692207,5.977894339812037,0.516815612116523,0.0340816428431885,0.000027221856728474173,0.002077076791931552,0.0016334085908265945,0.10021384306585832,1.3163330504267937e-6,0.00007051715209927433,38.85751462317438,4954.175285784123,0.000010935223301374739,5.614254029311926e-7,3.735186231013223e-6,3.138911677540583e-7,0.09630093881390445,9.996715270269476e-9,0.0000835852782097033,0.006471545491680765,1.9256843457263728e-7,0.0000549054670267259,4.534498054004076e-6,1.692722356137427e-7,0.0025186388185242997,0.07097804551498287
12.0,0.002916667,0.992083333,0.005,2.3593849305407764,0.09892624973218925,2.9972179625975817,43.96105968060621,2902.4706358733893,26.26814446810224,0.9834858313171513,18.278211999586276,13.247937897174605,0.24546721548639266,0.0023584567738880527,0.05436556263662728,0.17183731418416762,3.783759905584027,0.00017156325831420646,0.003083607576316741,75.54654246077463,4893.115489432619,0.00026844747626100096,0.0000332511516171224,0.0002212214257843349,0.00005297111996037954,1.3145535281553344,6.521708939733275e-7,0.002544423560458513,0.31183197110263994,8.86779191030772e-6,0.003493330381420113,0.000017957007864055057,4.375331066378826e-6,0.034301067570253016,0.9701882274312146
6.0,0.005833333,0.989166667,0.005,6.6097123233345565,0.6125182676725199,8.954859705493583,51.66750425939753,5793.120284977537,40.780629122737835,2.59088796079324,21.24475405557365,37.2640957654145,0.2971146364864518,0.010912449071224534,0.18516142820873238,0.5410866754970666,9.884022523712042,0.0008141792869833671,0.009552113088744556,108.06148762938017,4836.481754246427,0.0008880857461930659,0.00018072187462693187,0.0012023510452196652,0.0005476701255767641,3.2221702374460035,2.6373940016783397e-6,0.007255679386929003,1.053452252231697,0.00002904958147471246,0.014877201196545054,0.000027078324758589755,0.000012404738065690076,0.08501481433708374,2.4388129843865674
3.0,0.011666667,0.983333333,0.005,20.204428472590344,4.075332640969433,28.554773290686274,65.3735681389572,11545.324826040014,69.38379412684453,6.84601445514603,23.5018997001371,109.82398483466893,0.29375397585042273,0.060582002882238334,0.7591132394132108,1.5296252189504946,23.55785730435767,0.005053459252157797,0.03191547719284272,182.61744826259846,4698.004920475256,0.0033635884167443164,0.0012735072527984591,0.008472701980249554,0.007694588977586453,8.240679681765965,0.000015807167724888336,0.021132544511497403,3.661151546453736,0.00010552367457491066,0.07562137687638876,0.00004413126311664018,0.000037299421324231495,0.22570031650102532,6.725579151296286
2.0,0.0175,0.9775,0.005,41.75872882080831,11.897854561925238,54.19370543658949,77.14593314084323,17265.70811343223,98.1824993628339,12.598188523564035,25.165624830354687,205.87938509905464,0.2835495611841947,0.16813032296629915,1.815459048887556,2.5251555124106866,36.789793557706034,0.015525042007901085,0.06409469776221614,262.94687829609427,4537.113327899007,0.007205158725407385,0.003948488922188122,0.02626947236069887,0.036176127597920715,13.806711968320215,0.00005117392067549449,0.0384148291830334,7.363626783857793,0.0002231876812207263,0.19912649928128284,0.000059969083079474684,0.00007164139993431041,0.3969104526204061,12.337677552139475
1.75,0.02,0.975,0.005,53.28950732759445,16.516358864201138,65.2690911081578,81.48316996385806,19711.183835301697,110.25810635936507,15.49287488372373,25.833451558830536,250.67093490796705,0.28239982514837514,0.23097784308813643,2.396554735280272,2.887267169449904,42.06360272614513,0.021999936562502084,0.0793557464639762,296.1436706410748,4467.383287639199,0.009073647098303918,0.005568363649621668,0.037046567999492894,0.05787637814670193,16.116223537863917,0.00007461246767400759,0.0461350834031009,9.113895109072713,0.0002803814567583512,0.2700953395785607,0.00006616661252027017,0.00008817421269259447,0.47362148458157277,14.99018742673824
1.5,0.023333333,0.971666667,0.005,70.43517055006284,23.611528438246715,79.19519083288696,86.66828693966106,22968.690178912813,125.99253634010049,19.673078463079356,26.681956786944518,311.60219830951957,0.2834983319994212,0.3270954803270833,3.2612436103389553,3.2948996297460584,48.69144322848116,0.032148172759252705,0.10006508701624546,338.07865601885055,4376.726982860668,0.011638799720734706,0.00808065663385973,0.05376095797949388,0.09587644222901018,19.040213298646574,0.00011329304977021477,0.05637105998077529,11.494111383415424,0.000358468874034553,0.3786785093149142,0.00007387504047175983,0.00011117934928409263,0.576301794087287,18.674502031704076
1.25,0.028,0.967,0.005,97.11574721721803,34.86876352685143,96.373706925551,92.95766767113841,27526.41350930886,147.2087633759213,25.971574453365736,27.78361389430043,396.8363308951676,0.2890256636734486,0.47888708618942627,4.5926214915355015,3.7291549702218867,57.21166047637852,0.04847261354051622,0.1286225809264294,391.70908259858203,4256.76828977871,0.015220674412360951,0.012102715307546913,0.08051987664088199,0.16409374681178981,22.79175980652956,0.00017979080781446656,0.07027570390393023,14.803103989129017,0.00046585780675142285,0.5520104038376149,0.00008370350900299657,0.0001443353716550407,0.7183794149749368,24.02614889028203
1.1,0.031818182,0.963181818,0.005,120.61382364887169,44.811722678513085,108.21528194083686,97.41859217187584,31255.24921838649,163.77915320825986,31.35533364338044,28.607150270835486,465.04507183548446,0.2961712151674267,0.6124069560718273,5.743638190083046,3.9836919644111766,63.5556676350512,0.06293316548431944,0.15091757486926904,431.195744367413,4165.69966301399,0.018048307106401547,0.015685537078829533,0.10435652925064773,0.22958187776364197,25.562178897939734,0.0002426067260291915,0.0811197878780623,17.42521145051611,0.0005486355876520105,0.7073636266501767,0.00009101625332992817,0.00017167107530874373,0.8318364587838927,28.511806134087447
1.0,0.035,0.96,0.005,140.962150795213,53.36910994350254,116.61629623037169,100.74893321182651,34363.46380669741,176.99968476330278,35.909218401911794,29.239459531797046,520.2585237865734,0.3034899285285561,0.7269563871064672,6.722187924625664,4.13977871205301,68.43593088945778,0.07532614916323524,0.16849342321305635,461.2941435292798,4094.8066341950544,0.02029506297445095,0.01879282324633815,0.1250294211800357,0.2884176120999787,27.677143096534547,0.00029915680820998946,0.08973929716258763,19.528752260017434,0.0006128469764879492,0.8432000865396628,0.00009667126411885679,0.0001943121567425166,0.9239890310759871,32.29369525486216
